"STATION","NAME","DATE","PRCP","SNOW","TAVG"
"USW00094847","DETROIT METRO AIRPORT, MI US","2008-11","3.31","2.2","39.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2008-12","4.07","21.5","27.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2009-01","1.11","25.2","17.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2009-02","2.13","8.5","28.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2009-03","4.17","1.0","38.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2009-04","5.03","7.4","49.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2009-05","2.89","0.0","59.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2009-06","5.28","0.0","67.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2009-07","2.56","0.0","68.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2009-08","2.76","0.0","71.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2009-09","1.46","0.0","66.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2009-10","3.24","0.0","50.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2009-11","0.63","0.0","45.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2009-12","2.91","7.8","29.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2010-01","0.76","8.9","25.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2010-02","1.90","27.1","27.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2010-03","1.07","0.0","42.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2010-04","2.26","0.0","54.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2010-05","5.31","0.0","62.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2010-06","5.42","0.0","71.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2010-07","5.96","0.0","76.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2010-08","0.59","0.0","75.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2010-09","3.32","0.0","64.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2010-10","1.07","0.0","54.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2010-11","3.34","0.0","42.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2010-12","1.29","9.3","25.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2011-01","1.54","18.0","21.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2011-02","3.60","31.7","24.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2011-03","3.61","8.7","35.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2011-04","5.61","1.6","47.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2011-05","5.39","0.0","60.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2011-06","0.94","0.0","70.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2011-07","7.67","0.0","79.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2011-08","2.16","0.0","73.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2011-09","6.28","0.0","64.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2011-10","2.15","0.0","54.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2011-11","6.00","0.6","46.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2011-12","2.80","5.7","35.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2012-01","3.00","9.3","30.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2012-02","1.91","10.2","32.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2012-03","2.96","0.2","50.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2012-04","2.15","0.0","49.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2012-05","1.72","0.0","65.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2012-06","1.31","0.0","72.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2012-07","3.67","0.0","79.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2012-08","2.26","0.0","72.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2012-09","2.47","0.0","64.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2012-10","2.31","0.0","52.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2012-11","0.72","0.4","40.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2012-12","2.65","10.6","35.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2013-01","3.46","10.1","28.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2013-02","2.84","23.6","27.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2013-03","0.75","3.1","34.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2013-04","5.29","0.1","46.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2013-05","2.54","0.0","63.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2013-06","6.01","0.0","69.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2013-07","4.14","0.0","74.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2013-08","5.98","0.0","71.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2013-09","1.20","0.0","64.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2013-10","3.48","0.0","53.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2013-11","1.82","1.3","37.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2013-12","2.43","15.6","26.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2014-01","2.93","39.2","16.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2014-02","2.83","23.3","19.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2014-03","1.50","12.5","28.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2014-04","2.58","3.2","48.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2014-05","4.87","0.0","61.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2014-06","4.01","0.0","70.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2014-07","2.44","0.0","69.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2014-08","6.33","0.0","71.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2014-09","4.72","0.0","63.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2014-10","2.37","0.0","52.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2014-11","1.67","4.0","35.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2014-12","1.41","0.1","33.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2015-01","1.46","14.2","21.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2015-02","1.35","26.4","14.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2015-03","0.80","2.8","34.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2015-04","2.61","0.0","50.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2015-05","5.55","0.0","64.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2015-06","5.33","0.0","68.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2015-07","1.76","0.0","72.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2015-08","3.16","0.0","71.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2015-09","1.30","0.0","69.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2015-10","1.97","0.0","54.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2015-11","2.06","6.2","46.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2015-12","3.02","1.3","41.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2016-01","1.35","8.4","28.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2016-02","2.02","10.7","31.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2016-03","4.86","7.4","43.2"
