,year,month,state,monthly_num_plants,total_facility_age,total_weighted_facility_age,date,yearly_num_plants
455,1997,10,ME,1,10,876482.5,1997-10,2
456,1997,10,MI,21,306,101244745.0,1997-10,24
457,1997,10,MN,13,172,58081195.5,1997-10,12
458,1997,10,MO,16,460,165015186.0,1997-10,18
459,1997,10,MS,9,162,43313860.0,1997-10,9
460,1997,10,MT,2,20,16668800.0,1997-10,3
461,1997,10,NC,15,150,54296907.5,1997-10,15
462,1997,10,ND,7,70,23794655.0,1997-10,7
463,1997,10,NE,7,70,12525277.5,1997-10,9
464,1997,10,NH,3,78,12308286.5,1997-10,3
465,1997,10,NJ,10,124,12092998.0,1997-10,11
466,1997,10,NM,8,74,23032647.0,1997-10,7
467,1997,10,NV,7,70,18928387.5,1997-10,6
468,1997,10,NY,31,490,81374877.0,1997-10,30
469,1997,10,OH,23,638,366594574.0,1997-10,24
470,1997,10,OK,15,150,39053110.0,1997-10,12
471,1997,10,OR,3,30,2910855.0,1997-10,3
472,1997,10,PA,23,512,219761893.5,1997-10,24
473,1997,10,RI,1,10,2369807.5,1997-10,1
474,1997,10,SC,14,134,32272916.5,1997-10,13
475,1997,10,SD,3,30,2415945.0,1997-10,2
476,1997,10,TN,7,166,146278577.5,1997-10,7
477,1997,10,TX,85,838,199645351.0,1997-10,82
478,1997,10,UT,6,72,29090078.0,1997-10,5
479,1997,10,VA,10,94,28287810.5,1997-10,10
480,1997,10,VT,1,10,238012.5,1997-10,1
481,1997,10,WA,2,11,5085220.5,1997-10,2
482,1997,10,WI,21,447,88980330.75,1997-10,22
483,1997,10,WV,13,334,172358418.0,1997-10,13
484,1997,10,WY,6,108,74836524.5,1997-10,6
485,1997,11,AL,10,194,120121903.0,1997-11,10
486,1997,11,AR,8,88,17875280.5,1997-11,6
487,1997,11,AZ,8,88,34742411.0,1997-11,9
488,1997,11,CA,28,293,23863301.75,1997-11,24
489,1997,11,CO,14,154,33635520.49,1997-11,14
490,1997,11,CT,6,66,10447164.75,1997-11,6
491,1997,11,DE,4,44,5006793.0,1997-11,4
492,1997,11,FL,45,558,128061517.25,1997-11,46
493,1997,11,GA,13,395,179267498.25,1997-11,13
494,1997,11,IA,21,351,39698171.5,1997-11,21
495,1997,11,ID,1,11,45705.0,1997-11,1
496,1997,11,IL,26,598,170654075.75,1997-11,26
497,1997,11,IN,23,589,261464053.75,1997-11,23
498,1997,11,KS,14,202,47336610.0,1997-11,13
499,1997,11,KY,22,530,190919580.25,1997-11,20
500,1997,11,LA,20,220,37648707.25,1997-11,20
501,1997,11,MA,10,170,50772229.25,1997-11,10
502,1997,11,MD,11,217,56265625.5,1997-11,11
503,1997,11,ME,1,11,2433758.25,1997-11,2
504,1997,11,MI,24,360,89725870.5,1997-11,24
505,1997,11,MN,12,174,67244683.25,1997-11,12
506,1997,11,MO,16,476,170331728.25,1997-11,18
507,1997,11,MS,9,171,44009698.75,1997-11,9
508,1997,11,MT,3,33,15981806.5,1997-11,3
509,1997,11,NC,15,165,57390564.0,1997-11,15
510,1997,11,ND,7,77,25947097.0,1997-11,7
511,1997,11,NE,9,99,15020269.0,1997-11,9
512,1997,11,NH,3,81,13441252.5,1997-11,3
