state,date,monthly_num_plants,yearly_num_plants,total_facility_age,total_weighted_facility_age
RI,1997-11,1,1,11,2608344.75
SC,1997-11,14,13,148,31847590.75
SD,1997-11,2,2,22,3436862.0
TN,1997-11,7,7,173,132992363.5
TX,1997-11,79,82,857,195902165.25
UT,1997-11,6,5,78,32002599.75
VA,1997-11,10,10,104,28297510.0
VT,1997-11,1,1,11,212643.75
WA,1997-11,2,2,13,8557105.0
WI,1997-11,22,22,479,85518363.75
WV,1997-11,13,13,347,186320049.75
WY,1997-11,6,6,114,82488696.75
AL,1997-12,10,10,204,130461225.0
AR,1997-12,6,6,72,23481060.0
AZ,1997-12,9,9,108,43691979.0
CA,1997-12,24,24,273,30332791.5
CO,1997-12,14,14,168,39584907.24
CT,1997-12,6,6,72,18198279.0
DE,1997-12,4,4,48,5174949.0
FL,1997-12,46,46,615,147754602.0
GA,1997-12,13,13,384,199446162.0
IA,1997-12,21,21,372,40822902.0
ID,1997-12,1,1,12,76107.0
IL,1997-12,26,26,615,195432843.75
IN,1997-12,23,23,612,292184685.0
KS,1997-12,13,13,204,48643884.0
KY,1997-12,20,20,528,235555590.0
LA,1997-12,20,20,240,47084385.0
MA,1997-12,10,10,180,61536912.0
MD,1997-12,11,11,228,61510011.0
ME,1997-12,2,2,15,2947699.5
MI,1997-12,24,24,384,97255371.0
MN,1997-12,12,12,186,71484100.5
MO,1997-12,18,18,516,187740702.0
MS,1997-12,9,9,180,49372719.0
MT,1997-12,3,3,36,18159093.0
NC,1997-12,15,15,180,71930889.0
ND,1997-12,7,7,84,32962242.0
NE,1997-12,9,9,108,18609879.0
NH,1997-12,3,3,84,19709496.0
NJ,1997-12,11,11,156,13322838.0
NM,1997-12,7,7,78,36639225.0
NV,1997-12,6,6,72,19458519.0
NY,1997-12,30,30,540,96788469.0
OH,1997-12,24,24,696,410430576.0
OK,1997-12,12,12,144,42107235.0
OR,1997-12,3,3,36,8823123.0
PA,1997-12,24,24,570,253614949.5
RI,1997-12,1,1,12,2985966.0
SC,1997-12,13,13,150,35960439.0
SD,1997-12,2,2,24,3740085.0
TN,1997-12,7,7,180,159415380.0
TX,1997-12,82,82,972,237566025.75
UT,1997-12,5,5,60,39386493.0
