state,date,republican_vote_pct
UT,1998-12-01,16.0
VT,1998-12-01,3.21
WA,1998-12-01,20.79
WI,1998-12-01,8.07
AZ,2000-12-01,19.83
CA,2000-12-01,5.23
CT,2000-12-01,8.54
DE,2000-12-01,8.74
FL,2000-12-01,5.77
HI,2000-12-01,4.9
IN,2000-12-01,22.19
MA,2000-12-01,1.36
MD,2000-12-01,9.18
ME,2000-12-01,34.47
MI,2000-12-01,6.84
MN,2000-12-01,5.41
MO,2000-12-01,6.91
MS,2000-12-01,13.18
MT,2000-12-01,16.85
ND,2000-12-01,19.31
NE,2000-12-01,16.27
NJ,2000-12-01,4.28
NM,2000-12-01,12.75
NV,2000-12-01,6.12
NY,2000-12-01,3.26
OH,2000-12-01,11.98
PA,2000-12-01,10.48
RI,2000-12-01,14.22
TN,2000-12-01,8.14
TX,2000-12-01,16.27
UT,2000-12-01,16.4
VA,2000-12-01,17.42
VT,2000-12-01,8.19
WA,2000-12-01,16.21
WI,2000-12-01,6.17
WV,2000-12-01,6.72
WY,2000-12-01,24.59
AK,2002-12-01,13.03
AL,2002-12-01,14.64
AR,2002-12-01,23.05
CO,2002-12-01,8.45
DE,2002-12-01,8.16
GA,2002-12-01,17.58
IA,2002-12-01,8.76
ID,2002-12-01,21.72
IL,2002-12-01,12.67
KS,2002-12-01,27.51
KY,2002-12-01,32.34
LA,2002-12-01,4.5
ME,2002-12-01,29.22
MI,2002-12-01,7.58
MN,2002-12-01,5.5
MO,2002-12-01,12.45
MS,2002-12-01,42.29
MT,2002-12-01,7.93
NC,2002-12-01,13.39
NE,2002-12-01,20.69
NH,2002-12-01,10.16
NJ,2002-12-01,7.32
NM,2002-12-01,32.52
OK,2002-12-01,19.1
OR,2002-12-01,11.24
RI,2002-12-01,10.79
SC,2002-12-01,10.88
SD,2002-12-01,16.49
TN,2002-12-01,6.03
TX,2002-12-01,11.06
VA,2002-12-01,20.64
WV,2002-12-01,18.44
WY,2002-12-01,36.48
AK,2004-12-01,6.07
AL,2004-12-01,22.52
AR,2004-12-01,11.02
AZ,2004-12-01,25.58
CA,2004-12-01,6.3
CO,2004-12-01,6.65
CT,2004-12-01,8.03
FL,2004-12-01,7.06
GA,2004-12-01,11.58
HI,2004-12-01,5.25
IA,2004-12-01,11.7
ID,2004-12-01,49.59
IL,2004-12-01,5.41
IN,2004-12-01,12.41
KS,2004-12-01,17.29
KY,2004-12-01,25.33
LA,2004-12-01,7.29
MD,2004-12-01,4.82
MO,2004-12-01,14.02
NC,2004-12-01,12.9
