,state,date,total_co2
450,AR,1992-07-01,2373240.280436709
451,AR,1992-08-01,2384829.416355844
452,AR,1992-09-01,2014412.8188739603
453,AR,1992-10-01,1663727.5681376385
454,AR,1992-11-01,1536637.2036320434
455,AR,1992-12-01,1794358.310731932
456,AR,1993-01-01,1747171.9059399252
457,AR,1993-02-01,1428756.6607212953
458,AR,1993-03-01,1293739.2096898658
459,AR,1993-04-01,1183099.1948156576
460,AR,1993-05-01,1474572.249005538
461,AR,1993-06-01,1870946.399002682
462,AR,1993-07-01,2117231.036293524
463,AR,1993-08-01,2127570.013957977
464,AR,1993-09-01,1797111.4746302292
465,AR,1993-10-01,1484255.7966991726
466,AR,1993-11-01,1370875.0883220218
467,AR,1993-12-01,1600794.970922111
468,AR,1994-01-01,1944618.819648236
469,AR,1994-02-01,1590219.6467849636
470,AR,1994-03-01,1439943.9496059823
471,AR,1994-04-01,1316800.5689237015
472,AR,1994-05-01,1641212.8289142654
473,AR,1994-06-01,2082380.9985065148
474,AR,1994-07-01,2356498.124038224
475,AR,1994-08-01,2368005.503749325
476,AR,1994-09-01,2000202.0308881372
477,AR,1994-10-01,1651990.7088824487
478,AR,1994-11-01,1525796.9104670358
479,AR,1994-12-01,1781699.9095911642
480,AR,1995-01-01,2118086.2740845643
481,AR,1995-02-01,1732073.3362254086
482,AR,1995-03-01,1568392.470696777
483,AR,1995-04-01,1434264.228322423
484,AR,1995-05-01,1787615.3057099506
485,AR,1995-06-01,2268137.367481103
486,AR,1995-07-01,2566706.7915830747
487,AR,1995-08-01,2579240.6736840256
488,AR,1995-09-01,2178627.7208746737
489,AR,1995-10-01,1799354.6138939934
490,AR,1995-11-01,1661903.8448293237
491,AR,1995-12-01,1940634.3726146808
492,AR,1996-01-01,2316441.628958437
493,AR,1996-02-01,1894279.203605883
494,AR,1996-03-01,1715269.8896730305
495,AR,1996-04-01,1568580.7542697685
496,AR,1996-05-01,1955022.5887278789
497,AR,1996-06-01,2480544.764636751
498,AR,1996-07-01,2807074.732554545
499,AR,1996-08-01,2820782.3924484504
500,AR,1996-09-01,2382652.684352105
501,AR,1996-10-01,1967861.2641422893
502,AR,1996-11-01,1817538.452796295
503,AR,1996-12-01,2122371.643834565
504,AR,1997-01-01,2615923.8249999997
505,AR,1997-02-01,2038050.875
506,AR,1997-03-01,2073058.35
507,AR,1997-04-01,2169817.175
508,AR,1997-05-01,2566197.2750000004
509,AR,1997-06-01,2831771.575
510,AR,1997-07-01,3344034.25
511,AR,1997-08-01,2847602.15
512,AR,1997-09-01,2222678.6
513,AR,1997-10-01,1582755.05
514,AR,1997-11-01,1827791.3
515,AR,1997-12-01,2154481.75
516,AR,1998-01-01,2487669.375
517,AR,1998-02-01,1742089.2750000001
518,AR,1998-03-01,1745102.0
519,AR,1998-04-01,1733732.15
520,AR,1998-05-01,1915643.725
521,AR,1998-06-01,2903610.6
522,AR,1998-07-01,3200004.35
523,AR,1998-08-01,3145367.075
524,AR,1998-09-01,3135897.675
525,AR,1998-10-01,2656918.5
526,AR,1998-11-01,2128906.4749999996
527,AR,1998-12-01,2695361.8499999996
528,AR,1999-01-01,2772114.125
529,AR,1999-02-01,2138259.95
530,AR,1999-03-01,2320658.2750000004
531,AR,1999-04-01,2000062.0750000002
532,AR,1999-05-01,2622244.05
533,AR,1999-06-01,3130697.15
534,AR,1999-07-01,3157096.75
535,AR,1999-08-01,2930888.325
536,AR,1999-09-01,2807937.775
537,AR,1999-10-01,2607003.475
538,AR,1999-11-01,2699918.75
539,AR,1999-12-01,2575870.325
540,AR,2000-01-01,2822940.875
541,AR,2000-02-01,2235181.4
542,AR,2000-03-01,1346432.585
543,AR,2000-04-01,1964044.4000000001
544,AR,2000-05-01,2479236.6059999997
545,AR,2000-06-01,3246652.0949999997
546,AR,2000-07-01,3335335.571
547,AR,2000-08-01,3626976.603
548,AR,2000-09-01,3069746.228
549,AR,2000-10-01,2798446.8370000003
550,AR,2000-11-01,2188154.109
551,AR,2000-12-01,2773647.894
552,AR,2001-01-01,2661244.422
553,AR,2001-02-01,1889257.938
554,AR,2001-03-01,1731308.48
555,AR,2001-04-01,1989917.114
556,AR,2001-05-01,2379977.571
557,AR,2001-06-01,2905781.203
558,AR,2001-07-01,3194536.707
559,AR,2001-08-01,3111730.206
560,AR,2001-09-01,2892864.001
561,AR,2001-10-01,2686111.852
562,AR,2001-11-01,2374482.575
563,AR,2001-12-01,2971535.98
564,AR,2002-01-01,2808707.677
565,AR,2002-02-01,2229025.029
566,AR,2002-03-01,1386196.014
567,AR,2002-04-01,2638748.3310000002
568,AR,2002-05-01,1991097.615
569,AR,2002-06-01,2367693.807
570,AR,2002-07-01,2721104.302
571,AR,2002-08-01,3073636.0100000002
572,AR,2002-09-01,2894730.864
573,AR,2002-10-01,2619069.3929999997
574,AR,2002-11-01,2294539.821
575,AR,2002-12-01,2142697.813
576,AR,2003-01-01,2143082.8170000003
577,AR,2003-02-01,1993105.956
578,AR,2003-03-01,1785916.244
579,AR,2003-04-01,1741932.435
580,AR,2003-05-01,2124446.097
581,AR,2003-06-01,2836378.3329999996
582,AR,2003-07-01,3339276.977
583,AR,2003-08-01,3320049.419
584,AR,2003-09-01,3077772.189
585,AR,2003-10-01,2645930.469
586,AR,2003-11-01,2889859.09
587,AR,2003-12-01,2924398.329
588,AR,2004-01-01,2985407.569
589,AR,2004-02-01,2452838.281
590,AR,2004-03-01,2000559.043
591,AR,2004-04-01,1798457.879
592,AR,2004-05-01,2415512.594
593,AR,2004-06-01,3079706.822
594,AR,2004-07-01,3218591.654
595,AR,2004-08-01,3134043.1029999997
596,AR,2004-09-01,2901758.3850000002
597,AR,2004-10-01,2242757.248
598,AR,2004-11-01,2453557.603
599,AR,2004-12-01,2851147.4699999997
600,AR,2005-01-01,2778397.122
601,AR,2005-02-01,2450542.605
602,AR,2005-03-01,1969061.187
603,AR,2005-04-01,1789994.644
604,AR,2005-05-01,2410786.977
605,AR,2005-06-01,2827019.381
606,AR,2005-07-01,2831097.114
607,AR,2005-08-01,2880637.599
608,AR,2005-09-01,2551529.327
609,AR,2005-10-01,2453210.0
610,AR,2005-11-01,2080062.368
