state,date,monthly_energy_prod,monthly_energy_use,yearly_energy_prod,yearly_energy_use,monthly_energy_flow,yearly_energy_flow
NC,1970-11,6761.645833333334,107196.85416666667,80822,1291421,-100435.20833333334,-1210599
NC,1970-12,6735.166666666667,107618.41666666667,80822,1291421,-100883.25,-1210599
NC,1971-01,6773.465277777778,108010.18055555556,86337,1347835,-101236.71527777778,-1261498
NC,1971-02,6811.763888888889,108401.94444444445,86337,1347835,-101590.18055555556,-1261498
NC,1971-03,6850.0625,108793.70833333334,86337,1347835,-101943.64583333334,-1261498
NC,1971-04,6888.361111111111,109185.47222222222,86337,1347835,-102297.11111111111,-1261498
NC,1971-05,6926.659722222223,109577.23611111111,86337,1347835,-102650.57638888889,-1261498
NC,1971-06,6964.958333333334,109969.0,86337,1347835,-103004.04166666667,-1261498
NC,1971-07,7003.256944444444,110360.76388888889,86337,1347835,-103357.50694444445,-1261498
NC,1971-08,7041.555555555556,110752.52777777778,86337,1347835,-103710.97222222222,-1261498
NC,1971-09,7079.854166666667,111144.29166666666,86337,1347835,-104064.43749999999,-1261498
NC,1971-10,7118.152777777777,111536.05555555555,86337,1347835,-104417.90277777777,-1261498
NC,1971-11,7156.451388888889,111927.81944444444,86337,1347835,-104771.36805555555,-1261498
NC,1971-12,7194.75,112319.58333333333,86337,1347835,-105124.83333333333,-1261498
NC,1972-01,7226.472222222223,112851.01388888889,90905,1424361,-105624.54166666667,-1333456
NC,1972-02,7258.194444444444,113382.44444444444,90905,1424361,-106124.25,-1333456
NC,1972-03,7289.916666666667,113913.875,90905,1424361,-106623.95833333333,-1333456
NC,1972-04,7321.638888888889,114445.30555555555,90905,1424361,-107123.66666666666,-1333456
NC,1972-05,7353.361111111111,114976.73611111111,90905,1424361,-107623.375,-1333456
NC,1972-06,7385.083333333334,115508.16666666666,90905,1424361,-108123.08333333333,-1333456
NC,1972-07,7416.805555555556,116039.59722222222,90905,1424361,-108622.79166666666,-1333456
NC,1972-08,7448.527777777778,116571.02777777778,90905,1424361,-109122.5,-1333456
NC,1972-09,7480.25,117102.45833333333,90905,1424361,-109622.20833333333,-1333456
NC,1972-10,7511.972222222223,117633.88888888889,90905,1424361,-110121.91666666667,-1333456
NC,1972-11,7543.694444444444,118165.31944444444,90905,1424361,-110621.625,-1333456
NC,1972-12,7575.416666666667,118696.75,90905,1424361,-111121.33333333333,-1333456
NC,1973-01,7591.083333333334,119175.875,93161,1493355,-111584.79166666667,-1400194
NC,1973-02,7606.75,119655.0,93161,1493355,-112048.25,-1400194
NC,1973-03,7622.416666666667,120134.125,93161,1493355,-112511.70833333333,-1400194
NC,1973-04,7638.083333333334,120613.25,93161,1493355,-112975.16666666667,-1400194
NC,1973-05,7653.75,121092.375,93161,1493355,-113438.625,-1400194
NC,1973-06,7669.416666666667,121571.5,93161,1493355,-113902.08333333333,-1400194
NC,1973-07,7685.083333333334,122050.625,93161,1493355,-114365.54166666667,-1400194
NC,1973-08,7700.75,122529.75,93161,1493355,-114829.0,-1400194
NC,1973-09,7716.416666666667,123008.875,93161,1493355,-115292.45833333333,-1400194
NC,1973-10,7732.083333333334,123488.0,93161,1493355,-115755.91666666667,-1400194
NC,1973-11,7747.75,123967.125,93161,1493355,-116219.375,-1400194
NC,1973-12,7763.416666666667,124446.25,93161,1493355,-116682.83333333333,-1400194
NC,1974-01,7749.583333333334,124060.36805555556,91169,1437788,-116310.78472222223,-1346619
NC,1974-02,7735.75,123674.48611111111,91169,1437788,-115938.73611111111,-1346619
NC,1974-03,7721.916666666667,123288.60416666667,91169,1437788,-115566.6875,-1346619
